[safe_ngspice] e2e_prbs_ff125.spice  memcap=2500MB timeout=5400s floor=2000MB
x1.x2.x1.net8                         0.255748
x1.x2.x1.x1.net1                      0.362739
x1.x2.x1.net1                              0.9
x1.x2.x1.net7                           1.2968
x1.x2.x1.x1.xr1.dt                           0
x1.x2.x1.x1.xr2.dt                           0
x1.x2.x1.net3                          1.27298
x1.x2.x1.x2.net1                     0.0885286
x1.x2.x1.net4                         0.342952
x1.x2.x1.x2.xr1.dt                           0
x1.x2.x1.x2.xr2.dt                           0
x1.x2.x1.net6                         0.263978
x1.x2.x1.x3.net1                      0.103901
x1.x2.x1.net5                          1.25698
x1.x2.x1.x3.xr1.dt                           0
x1.x2.x1.x3.xr2.dt                           0
x1.x2.x1.net10                         1.29516
x1.x2.x1.x5.net1                     0.0980155
x1.x2.x1.net9                         0.260116
x1.x2.x1.x5.xr1.dt                           0
x1.x2.x1.x5.xr2.dt                           0
x1.x2.x1.x4.net1                     0.0984743
x1.x2.x1.x4.xr1.dt                           0
x1.x2.x1.x4.xr2.dt                           0
x1.x2.x1.x6.vo-_temp                  0.773749
x1.x2.x1.x6.net1                      0.617256
x1.x2.x1.x6.vo+_temp                   1.31999
x1.x2.x1.x6.xr3.dt                           0
x1.x2.x1.x6.xr4.dt                           0
x1.x2.net4                             1.22761
x1.x2.x1.x6.net2                      0.482857
x1.x2.net3                            0.592488
x1.x2.x1.x6.xr1.dt                           0
x1.x2.x1.x6.xr2.dt                           0
x1.x2.x4.vo-_temp                      1.31997
x1.x2.x4.net1                         0.578997
x1.x2.x4.vo+_temp                     0.794448
x1.x2.x4.xr3.dt                              0
x1.x2.x4.xr4.dt                              0
x1.x2.clkraw-                         0.599104
x1.x2.x4.net2                         0.489088
x1.x2.clkraw+                          1.21337
x1.x2.x4.xr1.dt                              0
x1.x2.x4.xr2.dt                              0
x1.x2.x11.net1                     7.15841e-05
x1.x2.x20.nrc                      6.92024e-16
x1.x2.x20.xr1.dt                             0
x1.x2.x20.pre                          1.31964
x1.x2.x20.preb                     2.19769e-05
x1.x2.x20.nbias                       0.500264
x1.x2.x30.nb1                         0.997948
x1.x2.x30.nb2                        0.0689827
x1.x2.x30.vh                          0.792001
x1.x2.x30.xrlt.dt                            0
x1.x2.x30.vl                          0.528002
x1.x2.x30.xrlm.dt                            0
x1.x2.x30.xrlb.dt                            0
x1.x2.x30.spu                          1.18498
x1.x2.x30.snd                         0.738967
x1.x2.x30.nd                           1.31793
x1.x2.x30.ne                        0.00246433
x1.x2.x30.nlo                      0.000172838
x1.x2.x30.nhi                       0.00358586
x1.x2.x30.nlon                         1.31999
x1.x2.x30.rst                      4.03208e-05
x1.x2.x30.rstn                            1.32
x1.x2.x30.nas                      2.03056e-05
x1.x2.x30.nbs                        0.0648444
x1.x3.net1                         2.13236e-05
x1.x3.net2                             1.31999
clkoutp                            1.99305e-05
x1.x4.net1                             1.31999
x1.x4.net2                         2.15094e-05
clkoutm                                1.31999
bedinm#branch                                0
bedinp#branch                                0
edinm#branch                      -1.89984e-11
edinp#branch                      -6.35533e-12
vdraw#branch                                 0
vss#branch                          0.00374457
vdd#branch                         -0.00372609
vcrs#branch                       -1.03507e-05
vsub#branch                                  0

