[safe_ngspice] e2e_prbs_ttm40_early.spice  memcap=2500MB timeout=5400s floor=2000MB
x1.x2.x1.x2.net1                     0.0393065
x1.x2.x1.net4                         0.118009
x1.x2.x1.x2.xr1.dt                           0
x1.x2.x1.x2.xr2.dt                           0
x1.x2.x1.net6                        0.0942513
x1.x2.x1.x3.net1                     0.0401322
x1.x2.x1.net5                          1.19999
x1.x2.x1.x3.xr1.dt                           0
x1.x2.x1.x3.xr2.dt                           0
x1.x2.x1.net10                         1.19999
x1.x2.x1.x5.net1                     0.0401433
x1.x2.x1.net9                        0.0940085
x1.x2.x1.x5.xr1.dt                           0
x1.x2.x1.x5.xr2.dt                           0
x1.x2.x1.x4.net1                     0.0401433
x1.x2.x1.x4.xr1.dt                           0
x1.x2.x1.x4.xr2.dt                           0
x1.x2.x1.x6.vo-_temp                  0.362333
x1.x2.x1.x6.net1                      0.308066
x1.x2.x1.x6.vo+_temp                       1.2
x1.x2.x1.x6.xr3.dt                           0
x1.x2.x1.x6.xr4.dt                           0
x1.x2.net4                             1.19984
x1.x2.x1.x6.net2                      0.183043
x1.x2.net3                            0.220091
x1.x2.x1.x6.xr1.dt                           0
x1.x2.x1.x6.xr2.dt                           0
x1.x2.x4.vo-_temp                          1.2
x1.x2.x4.net1                         0.308055
x1.x2.x4.vo+_temp                     0.362355
x1.x2.x4.xr3.dt                              0
x1.x2.x4.xr4.dt                              0
x1.x2.clkraw-                         0.220091
x1.x2.x4.net2                         0.183043
x1.x2.clkraw+                          1.19984
x1.x2.x4.xr1.dt                              0
x1.x2.x4.xr2.dt                              0
x1.x2.x11.net1                       0.0579875
x1.x2.clkraw_sb                       0.619419
x1.x2.x20.nrc                      4.29727e-16
x1.x2.x20.xr1.dt                             0
x1.x2.x20.pre                              1.2
x1.x2.x20.preb                     1.21879e-07
x1.x2.x20.nbias                       0.637628
x1.x2.x30.nb1                         0.741043
x1.x2.x30.nb2                         0.250079
x1.x2.x30.vh                          0.719999
x1.x2.x30.xrlt.dt                            0
x1.x2.x30.vl                          0.479999
x1.x2.x30.xrlm.dt                            0
x1.x2.x30.xrlb.dt                            0
x1.x2.x30.spu                         0.855223
x1.x2.x30.nu1                        0.0719808
x1.x2.x30.nu2                         0.998302
x1.x2.x30.snd                         0.480885
x1.x2.x30.nd                          0.942925
x1.x2.x30.ne                          0.142002
x1.x2.x30.nlo                      6.02499e-05
x1.x2.x30.nhi                      5.60209e-05
x1.x2.x30.nlon                             1.2
x1.x2.x30.rst                      4.31207e-08
x1.x2.x30.rstn                             1.2
x1.x2.x30.nas                      2.78839e-08
x1.x2.x30.nbs                        0.0373707
x1.x2.x13.sbin                        0.619419
x1.x2.x13.xrfb.dt                            0
x1.x3.net1                         5.03453e-08
x1.x3.net2                                 1.2
clkoutp                            8.02865e-09
x1.x4.net1                                 1.2
x1.x4.net2                         4.47725e-08
clkoutm                                    1.2
bedinm#branch                                0
bedinp#branch                                0
edinm#branch                      -6.07802e-12
edinp#branch                      -3.07502e-12
vdraw#branch                                 0
vss#branch                          0.00267629
vdd#branch                         -0.00254059
vcrs#branch                       -1.80285e-09
vsub#branch                                  0

